commercial_name_en,commercial_name_ar,scientific_name,manufacturer,drug_class,route,price_egp,matched_api,n_apis_in_product
DEEPFREEZE PHARMAKON COLD SPRAY 125 ML,ديبفريزي فارماكون كولد,ETHYL CHLORIDE+MENTHOL+THYMOL+EUCALYPTUS OIL+CAMPHOR+ALLANTOIN GLYCYRRHETINIC ACID+ALOE VERA+TOCOPHERYL ACETATE+ISOPROPYL MYRISTATE+MELALEUCA ALTERNIFOLIA LEAF OIL,PHARMAKON,TOPICAL ANALGESIC,UNKNOWN,138.0,menthol,1
DELASSEMENT TOPICAL GEL 75 GRAM,ديلاسسيمينت 75 جرام,MENTHOL+CAMPHOR+CLOVE+CARBOMER+MG SULPHATE+SALICYLIC ACID+EUCALYPTUS,NILE COSMETICS > PHARMA LIFE,MASSAGE GEL,TOPICAL,60.0,menthol,1
DELERA SKIN CREAM 150 ML,ديليرا سكين,BEESWAX+GLYCERIN+OLIVE OIL+ZINC OXIDE+CHAMOMILE+VITAMIN E+MENTHOL,> ORIGINAL GROUP,SKIN CARE,TOPICAL,175.0,menthol,1
DELTA MOUTH REFESHENER 250 ML,ديلتا موث ريفيشينير,CETRIMIDE MENTHOL,HICARE > PARADISE PHARMA,ANTISEPTIC GARGLE,UNKNOWN,36.0,menthol,1
DEMOLIA GEL 100 GM,ديموليا,CHLORHEXIDINE+BORIC ACID+PROPOLIS EXTRACT+TEA TREE EXTRACT+CHAMOMILE+THYME EXTRACT+GLYCERIN+MENTHOL+ALOE VERA+JASMINE,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > NOUVITAPHARM,VAGINAL CARE,VAGINAL,115.0,menthol,1
DENSYL MOUTH WASH 250 ML,دينسيل موث واش,THYMOL+MENTHOL+EUCALYPTOL,ORGANO PHARMA > PHARMA ZONE,MOUTH WASH,MOUTH,25.0,menthol,1
DENTA-STEP 200 ML MOUTH WASH,دينتا-ستيب موث واش,CHLORHEXIDINE DIGLUCONATE+SODIUM FLUORIDE+THYMOL+MENTHOL+METHYL SALICYLATE+EUCALYPTUS OIL+SORBITOL+SACCHARINE+PROPYLENE GLYCOL+POLYSORBATE 20+SODIUM BENZOATE+CITRIC ACID+GLYCERIN+ZINC SULPHATE+TOCOPHEROL+EUGENIA CARYOPHYLLUS STEM OIL+MELALEUCA ALTERNIFOLIA LEAF OIL+POTASSIUMA ACESULFAME+MENTHA PIPERITA OIL+CI 77288+WATER,EL-HELOU FOR PERFUMES & COSMETICS (HEALTHY GROUP) > STEPURE MEDICAL,MOUTH WASH,MOUTH,40.0,menthol,1
DENTOHEX MOUTH WASH 250 ML,دينتوهيكس موث واش,SODIUM FLUORIDE+CHLORHEXIDINE+THYMOL+MENTHOL+EUCALYPTUS+GREEN TEA EXTRACT+GRAPE SEED EXTRACT+GLYCERIN+SORBITOL+SACCHARIN,ITALIAN COSMETICS > IVET,MOUTH WASH,MOUTH,45.0,menthol,1
DENTOHEX ORAL SPRAY 60 ML,دينتوهيكس أورال,CHLORHEXIDINE+SODIUM FLUORIDE+THYMOL+MENTHOL+EUCALYPTUS+GREEN TEA EXTRACT+GRAPE SEED EXTRACT+SORBITOL+SACCHARIN+GLYCERIN,ITALIAN COSMETICS > IVET,oral care,SPRAY,50.0,menthol,1
DENTSO MOUTH SPRAY 60 ML,دينتسو موث,MENTHOL+THYME OIL+CAMPHOR+SORBITOL+EUCALYPTOL+PEPPERMINT OIL+CINNAMON OIL+CLOVE OIL+SODIUM SACCHARIN,EGYPTIAN CO . FOR COSMETIC (ECC) > VIDA INTERNATIONAL PHARMA,ORAL CARE,UNKNOWN,40.0,menthol,1
DEPADOLLS 100 GM MASSAGE CREAM,ديبادوللس ماسساجي,EUCALYPTUS EXTRACT+MENTHOL CRYSTALS+AVOCADO OIL,PHARMATONIC > DOLLS PHARMA,MASSAGE CREAM,TOPICAL,105.0,menthol,1
DEPADOLLS 100 GM MASSAGE GEL,ديبادوللس ماسساجي,MENTHOL+EUCALYPTUS LEAF EXTRACT,PHARMATONIC > DOLLS PHARMA,MASSAGE GEL,TOPICAL,115.0,menthol,1
DERMOSO GEL CREAM 30 GM,ديرموسو,ZINC OXIDE+MENTHOL+TITANIUM DIOXIDE+GLYCERIN,HI-CARE > A.M.D COMPANY,SOOTHING TOPICAL,TOPICAL,7.99,menthol,1
DG-WASH FLUORIDE MOUTH WASH 125ML,دج-واش فلووريدي موث واش,BEEPROPOLIS+FLUORIDE+MENTHOL CRYSTALS,AL ESRAA PHARMACEUTICAL OPTIMA,ORAL CARE,MOUTH,14.95,menthol,1
DG-WASH FLUORIDE MOUTH WASH 220ML,دج-واش فلووريدي موث واش,BEEPROPOLIS+FLUORIDE+MENTHOL CRYSTALS,AL ESRAA PHARMACEUTICAL OPTIMA,ORAL CARE,MOUTH,58.0,menthol,1
DG-WASH MENTHOL MOUTH WASH 125ML,دج-واش مينثول موث واش,BEEPROPOLIS+FLUORIDE+MENTHOL CRYSTALS,AL ESRAA PHARMACEUTICAL OPTIMA,ORAL CARE,MOUTH,14.95,menthol,1
DG-WASH MENTHOL MOUTH WASH 220ML,دج-واش مينثول موث واش,BEEPROPOLIS+FLUORIDE+MENTHOL CRYSTALS,AL ESRAA PHARMACEUTICAL OPTIMA,ORAL CARE,MOUTH,56.0,menthol,1
DIADEL CREAM 20 GM,دياديل,CAMPHOR+MENTHOL+L-ARGININE+GLYCERIN,LEADER FOR COSMETICS > ESAG,TOPICAL SOOTHING CREAM,TOPICAL,45.0,menthol,1
DIAMOND TEETHING GEL 50 GM,دياموند تيثينج,MENTHOL+CHLORHEXIDINE+THYME+SORBITOL+EUCALYPTUS+SODIUM BICARBONATE+CALCIUM CARBONATE+SODIUM FLUORIDE,EL-HELOU PERFUMES & COSMETICS > PHARMAVERA,ORAL CARE,TOPICAL,12.0,menthol,1
DIMICO MASSAGE CREAM 50 GM,ديميكو ماسساجي,CAMPHOR OIL+MENTHOL CRYSTALS+EUCALYPTUS OIL,KEMPETRO > DIMICO PHARM,MASSAGE CREAM,TOPICAL,75.0,menthol,1
DOLAREX MASSAGE GEL 100 GM,دولاريكس ماسساجي,MENTHOL+EUCALYPTUS+METHYL SALICYLATE+CAMPHOR+CAPSICUM,DREAMS > DRUG PHARMA EGYPT,MASSAGE GEL,TOPICAL,65.0,menthol,1
DOLJEX MASSAGE GEL 100 GM,دولجيكس ماسساجي,THYME EXT+CLOVE OIL+EUCALYPTUS OIL+PEPPERMINT OIL+CINNAMON OIL+VIT.E+VIT.C+GLYCERIN+CAMPHOR+MENTHOL,EGYPTIAN COMPANY FOR COSMETICS > EL RAAY EL BATAL COMPANY,MASSAGE CREAM,TOPICAL,59.0,menthol,1
DOLOSEV 60ML  MASSAGE GEL,دولوسيف ماسساجي,CAMPHOR OIL+MENTHOL CRYSTAL+EUCALYPTUS OIL+CLOVE OIL,EVITA > HELDZ PHARMA,MASSAGE GEL,TOPICAL,59.0,menthol,1
DORASEPT VAG. DOUCH 250 ML,دوراسيبت فاج. دوتش,ALOE VERA EXTRACT+MENTHOL CRYSTALS+TEA TREE OIL+THYME EXTRACT+TOCOPHEROL+CHLORHEXIDINE DIGLUCONATE+GLYCERIN+CHAMOMILE EXTRACT+COCAMIDOPROPYLBETAINE+PERFUME ROSE+ETHANOL+PARAFFINUM LIQUIDUM+POTASSIUM SORBATE+CITRIC ACID+ASCORBIC ACID+LICORICE EXTRACT+SAGE OIL+POVIDONE,GLOBAL HEALTH > Q PHARM,VAGINAL CARE,UNKNOWN,150.0,menthol,1
DORMANT VAG.DOUCHE 120 ML,دورمانت فاج,THYMOL+TRICLOSAN+MENTHOL,LEADER COSMETICS > TOP Z,VAGINAL CARE,VAGINAL,55.0,menthol,1
DORMANT VAG.DOUCHE 240 ML,دورمانت فاج,THYMOL+TRICLOSAN+MENTHOL,LEADER COSMETICS > TOP Z,VAGINAL CARE,VAGINAL,70.0,menthol,1
DOTT HAIR SHAMPOO,دوتت هاير,CAFFEINE+PANTHENOL+ALOE VERA EXTRACT+ALMOND OIL+ASCORBIC ACID+OLIVE OIL+SIMETHICONE+MENTHOL,HI CARE > THEIA PHARMA,HAIR SHAMPOO,TOPICAL,150.0,menthol,1
DOVANILE 90 ML LOTION,دوفانيلي,ZINC OXIDE+OLIVE OIL+TITANIUM DIOXIDE+MENTHOL CRYSTALS+CETOSTEARYL ALCOHOL+GLYCEROL+DIMETHICONE 350+LANOLIN+POLYSORBATE 60+DISODIUM EDTA+PHENOXYETHANOL+POTASSIUM HYDROXIDE,SMARTEC PHARMACEUTICAL AND COSMETICS > PADOVA PHARMA,LOTION,UNKNOWN,58.0,menthol,1
DOVEYDERM PLUS LOTION,دوفيديرم بلوس,CALAMINE+CHLORHEXADINE DIACETATE+ZINC OXIDE+GLYCERIN+MENTHOL+CITRIC ACID,EL NILE COSMETICS > BIO NL PHARMA,SOOTHING LOTION,UNKNOWN,55.0,menthol,1
DROPMAS  100 GM GEL,دروبماس,CAMPHOR OIL+MENTHOL+PIPPERMINT,EL_NILE FOR COSMETICS > LOGISTY PHARMA,MASSAGE GEL,UNKNOWN,100.0,menthol,1
EASYREST 50 GM  GEL,إاسيريست,TURMERIC LONGA LEAF EXTRACT MENTHOL CALCIUM SULFATE EUCALYPTUS OIL AMYGDALUS PLUM OIL MAGNESIUM SULFATE THYME PLANT EXTRACT PHENOXYETHANOL CINNAMON EXTRACT TRIGONELLA SEED EXTRACT - GRAPE LINOLEIC ACID (OMEGA-6)) LINOLENIC ACID (OMEGA 3) MENTHA PIPERITA OIL GLYCERIN PANTHENOL NIACINAMIDE,SMARTC PHARMACEUTICAL > KARMED PHARM,MASSAGE GEL,TOPICAL,65.0,menthol,1
EASYSAG MASSAGE SPRAY 120 ML,إاسيساج ماسساجي,MENTHOL+PEPPERMINT+EUCALYPTUS+CAMPHOR+CLOVE+THYMOL+GLYCERIN+CANOLA+EUGENOL+GREEN TEA+TEA TREE+TOCOPHEROL,NILE COSMATICS > EGYPTO PHARMACEUTICAL,MASSAGE SPRAY,UNKNOWN,250.0,menthol,1
EBETRONG MASSAGE CREAM 60 GM,إبيترونج ماسساجي,PANTHENOL+CAMPHOR OIL+MENTHOL+SWEET ALMOND OIL+EUCALYPTUS+GLYCERIN,ITALIAN COSMETIC > EBERS,MUSCLE RELAXANT,TOPICAL,44.0,menthol,1
EBTOPIA 30 ML NASAL SPRAY,إبتوبيا,CAPSICUM+SEA WATER+MENTHOL+EUCALYPTUS OIL+CALENDULA+TILIA+ALOE VERA+ALLANTOIN,NILE FOR COSMETICS > MU PHARMACEUTICAL,RELIEVE: 1-NASAL & SINUS CONGESTION. 2-SINUS PRESSURE AND HEADACHE. 3-NASAL DRYNESS   RHINITIS & NASAL IRRITATION.SUPPORT: 1-REPAIRING NASAL MUCOSA & FRAGILE CAPILLARIES. 2-MUCOLYTIC ACTION BY DECREASING MUCUS VISCOSITY.,SPRAY,68.0,menthol,1
EFECTI-SAGE  75 GM MASSAGE GEL,إفيكتي-ساجي ماسساجي,MENTHOL CRYSTALS+CLOVE OIL+CAMPHOR OIL+EUCALYPTUS OIL+PEPPERMINT OIL+AVOCADO OIL+OLIVE OIL+PUNICA GRANATUM+VITAMIN E+SHEA BUTTER+HONEY+PROPOLIS+SALICYLIC ACID,NILE COSMATICS > PREMIX PHARMA,MASSAGE GEL,TOPICAL,85.0,menthol,1
EFFECT ADVANCED MOUTH WASH 250ML,إففيكت أدفانسيد موث واش,CHLORHEXIDINE DIGLUCONATE+SODIUM FLUORIDE+CLOVE OIL+PEPPERMINT OIL+THYMUS VULGARIS EXTRACT+MENTHOL+THYMOL+GLYCERIN+SORBITOL+SODIUM SACCHARIN+CITRIC ACID,EL NILE FOR COSMETICS > EFFECT PHARMA,MOUTH WASH,MOUTH,59.0,menthol,1
EGY FRESH MOUTH WASH 250 ML,إجي فريش موث واش,ALOE VERA EXTRACT+GLYCERIN+MENTHOL+SODIUM FLUORIDE,E.C.C > EGY MINDS,REFRESHING MOUTH WASH,MOUTH,50.0,menthol,1
EGY ONE MASSAGE CREAM 50 GM,إجي أوني ماسساجي,MENTHOL+EUCALYPTUS+CAMPHOR AND OTHER COMPONENTS,KEMPETRO > EGYCURE,MASSAGE CREAM,TOPICAL,40.0,menthol,1
EGYALB FACIAL CLEANSING FOAMING GEL,إجيالب فاسيال كليانسينج فوامينج,POLYSORBATE 80+DECYL GLUCOSIDE+GLYCERIN+HEXYLENE GLYCOL+TRIETHANOL AMINE+COCAMIDOPROPYL BETAINE+ZINC GLUCONATE+MENTHOL+CITRIC ACID+SALICYLIC ACID+CAPRYLOYL SALICYLIC ACID,DREAMS ELHABOBA > EGY BIOTICS,FACIAL CLEANSING FOAMING GEL,TOPICAL,135.0,menthol,1
EGYFREEZE MASSAGE GEL,إجيفريزي ماسساجي,MENTHOL AND OTHER COMPONENTS,KEMPETRO > EGYCURE,MASSAGE GEL,TOPICAL,75.0,menthol,1
EGYGULF-COOL 100  GM MASSAGE GEL,إجيجولف-كول ماسساجي,EUCALYPTUS GLOBE LEAF OIL+MENTHA PIPERITA OIL+CAMPHOR+EUGENIA CARYOPHYLLUS BUD OIL+MENTHOL ZEYLANICUM+CINNAMON BARK OIL,DREAMS ELHABOBA > EGYGULF PHARMACEUTICAL,MASSAGE GEL,TOPICAL,95.0,menthol,1
EGYTAR 200 ML ANTIDANDRUFF SHAMPOO,إجيتار أنتيداندروفف,SALICYLIC ACID+PIROCTONE OLAMINE+ZINC PYRITHIONE+KERATIN+CAFFEINE+PANTHENOL+ALOE VERA EXTRACT+TEA TREE OIL+DIMETHICONE+GARLIC EXTRACT+OLIVE EXTRACT+JOJOBA EXTRACT+EURICA EXTRACT+MENTHOL CRYSTALS+VITAMIN C+VITAMIN E+CETRIMIDE+GLYCERIN,DREAMS > EGY HEART INTERNATIONAL PHARMACEUTICAL,ANTI DANDRUFF SHAMPOO,TOPICAL,120.0,menthol,1
ELA COOL CREAM 60GRAM,إلا كول 60جرام,MENTHOL+PEPPERMINT+CAMPHOR+CLOVE OIL+MSM+ARNICA+COLCHICINE,HEALTH GROUP > UNITED SCIENTIFIC OFFICE,MASSAGE CREAM,TOPICAL,60.0,menthol,1
ELITMASS GEL 75GM,إليتماسس,GLUCOSAMINE+CAMPHOR+MENTHOL+CLOVE+LIDOCAINE+BHT+PANTHENOL+VIT E+BETAIN+THYME .,ITALIAN COSMETICS COMPANY > J.C.PHARMA,MASSAGE GEL,TOPICAL,50.0,menthol,1
ELIXAGE MASSAGE GEL 50 GM,إليكساجي ماسساجي,METHYL SALICYLATE+MENTHOL+CAMPHOR+EUCALYPTUS+CLOVE+GLYCERIN,,ANALGESICS AND ANTI INFLAMMATORY,TOPICAL,35.0,menthol,1
ELLIGYN VAG.DOUCHE 200 ML,إلليجين فاج,CAMOMILE EXTRACTS+CHLORHEXIDINE GLUCONATE+MENTHOL+PANTHENOL+SODIUM LAURYL ETHER SULPHATE+TEA TREE OI,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > BALLANCE PHARMA,VAGINAL CARE,VAGINAL,58.0,menthol,1
EMAZAD CREAM 100 GM,إمازاد,EUCALYPTUS OIL+TURPENTINE OIL+MENTHOL,MIDDLE EAST,MASSAGE CREAM,TOPICAL,38.0,menthol,1
EMOCAP MASSAGE CREAM 50 GM,إموكاب ماسساجي,EUCALYPTUS+MENTHOL+CAMPHOR OIL,HI CARE > NEW VISION PHARMA,MASSAGE CREAM,TOPICAL,39.0,menthol,1
EMUX CREAM 50 GM,إموكس,EMU OIL+BEES WAX+CLOVE OIL+MINERAL OIL+MENTHOL,KEMPETRO FOR CHEMICAL INDUSTRIES > ZINOPHARMA,MASSAGE CREAM,TOPICAL,56.0,menthol,1
ESAY GO 100 ML SPRAY,إساي جو,MENTHOL 5%+CAMPHOR3%+TURMERIC 4%+MAGNESIUM,NILE > HYALOMEDICA,SPRAY MASSAGE FOR MUSCLE PINE RELIEF,UNKNOWN,180.0,menthol,1
ESAY GO 50 GM GEL,إساي جو,MENTHOL 5%+CAMPHOR3%+TURMERIC 4%+MAGNESIUM,NILE > HYALOMEDICA,MASSAGE GEL FOR MUSCLE AND PAIN RELIEF,TOPICAL,75.12,menthol,1
EUCAMENTH CREAM 50 GM,إوكامينث,EUCALYPTUS OIL+CAMPHOR+MENTHOL+THYME EXT+PARAFFIN OIL+CETYL ALC+STEARIC ACID+GLYCERYL MONOSTEARATE,HI-CARE > AL-ASHRAF CO.,MASSAGE CREAM,TOPICAL,35.0,menthol,1
EUCAVAN MASSAGE SPRAY  120ML,إوكافان ماسساجي,THYME- EUCALYPTUS OIL -CAMPHOR OIL -PEPPRMINT OIL - MENTHOL - ALMOND OIL - CLOVE OIL - GLYCERINE,DREAMS > EGY HEART,MASSAGE SPRAY,SPRAY,139.0,menthol,1
EVERLEAP   GEL 50 GM,إفيرلياب,NIGELLA SATIVA OIL+AVOCADO OIL+TOCOPHEROL OIL+OMEGA 3&6+MAGNESIUM CHLORIDE PLUS MENTHOL+CAMPHOR AND EUCALYPTUS OIL,EGYPTIAN COMPANY FOR COSMETICS ( ECC ) > BIOTREATS PHARMACEUTICALS,CHONDROPROTECTIVE AND ANTI INFLAMMATORY MASSAGE GEL,TOPICAL,75.0,menthol,1
EVERSON MASSAGE SPRAY 100 ML,إفيرسون ماسساجي,CAMPHOR OIL+EUCALYPTUS OIL+DI ETHANOL ANIME SALSELATE+PEPPERMENT OIL+CANOLAOIL+MENTHOL+PANTHENOL+GLYCERIN+VE+VB5,DREAMS > DOCTORS PHARMA,MASSAGE SPRAY,UNKNOWN,120.0,menthol,1
EVIRINSE VAG.DOUCHE 250 ML,إفيرينسي فاج,ALUM+CHAMOMILE EXTRACT+THYMOL+MENTHOL+CALENDULA  EXTRACT+ROSEMARY EXTRACT+VITAMIN C,MACRO GROUP PHARMACEUTICALS,VAGINAL WASH,VAGINAL,37.0,menthol,1
EXCLUSIVE CARE MOUTH WASH SPRAY 30 ML,إكسكلوسيفي كاري موث واش,TEA TREE OIL+THYMOL+MENTHOL CRYSTALS+PEPPERMINT OIL+CLOVE OIL+PROPOLIS EXTRACT+VITAMIN C+GREEN TEA EXTRACT,NILE FACTORY FOR COSMETICS > KYAN EGYPT,ORAL CARE,MOUTH,24.0,menthol,1
EXQUISTE MASSAGE GEL 60 GM,إكسكويستي ماسساجي,GLYCERIN+PHENOXYETHANOL+MENTHOL+CHAMOMILE OIL+CARBOMER+POTASSIUM SORBATE+HORSE CHESTNUT+XANTHAN GUM,EGYPTIAN COMPANY FOR COSMETICS > MIRACLE,MASSAGE CREAM,TOPICAL,24.0,menthol,1
EXQUISTE MASSAGE GEL 75 GM,إكسكويستي ماسساجي,GLYCERIN+PHENOXYETHANOL+MENTHOL+CHAMOMILE OIL+CARBOMER+POTASSIUM SORBATE+HORSE CHESTNUT+XANTHAN GUM,EGYPTIAN COMPANY FOR COSMETICS > MIRACLE,MASSAGE CREAM,TOPICAL,45.0,menthol,1
EXTRACOOL CREAM 100 GM,إكستراكول,CAMPHOR OIL+EUCALYPTUS OIL+MENTHOL CRYSTAL,DREAMS > DRUGPHARMA,MASSAGE CREAM,TOPICAL,39.0,menthol,1
EXTRALAX MASSAGE GEL 30 GRAM,إكسترالاكس ماسساجي 30 جرام,ALMOND OIL+CLOVE OIL+MENTHOL+CAMPHOR OIL+EUCALYPTUS OIL+JASMINE OIL+VIT E,ITALIAN COSMETICS COMPANY > VERDO PHARMA,MASSAGE GEL,TOPICAL,27.0,menthol,1
EXTRALAX MASSAGE GEL 50 GRAM,إكسترالاكس ماسساجي 50 جرام,ALMOND OIL+CLOVE OIL+MENTHOL+CAMPHOR+EUCALYPTUS OIL+JASMINE OIL+VIT E,ITALIAN COSMETICS COMPANY > VERDO PHARMA,MASSAGE GEL,TOPICAL,45.0,menthol,1
FAMILAV 250ML VAGINAL WASH,فاميلاف واش,INGREDIENT  COCAMIDOPROPYL BETAINE  SODIUM LAURETH SULFATE  PROPYLENE GLYCOL  VITIS VINIFERA SEED EXTRACT  THYMUS VULGARIS EXTRACT  MENTHOL  CHAMOMILLA RECUTITA EXTRACT  CHLORHEXIDINE  CITRIC ACID  GLYCERIN  MALVA SYLVESTRIS EXTRACT  CI 75470 (RED)  PERFUME  WATER,EL HELOU CO. PERFUMES > BME PHARMA,VAGINAL WASH,VAGINAL,75.0,menthol,1
FAST FREEZE GEL 100 GM,فاست فريزي,CAMPHOR+MENTHOL,DJO CONSUMER LLC > ROTABIOGEN,MASSAGE,TOPICAL,160.0,menthol,1
FAST FREEZE MAGNESIUM MASSAGE SPRAY 150 ML,فاست فريزي ماجنيسيوم ماسساجي,CAMPHOR+MENTHOL+MAGNESIUM,DJO CONSUMER LLC > ROTABIOGEN,MASSAGE,SPRAY,250.0,menthol,1
FAST FREEZE MASSAGE SPRAY 150 ML,فاست فريزي ماسساجي,CAMPHOR+MENTHOL,DJO CONSUMER LLC > ROTABIOGEN,MASSAGE,SPRAY,250.0,menthol,1
FAST FREEZE MASSAGE SPRAY 200 ML,فاست فريزي ماسساجي,CAMPHOR+MENTHOL,DJO CONSUMER LLC > ROTABIOGEN,MASSAGE,SPRAY,250.0,menthol,1
FAST FREEZE OMEGA 3 & MAGNESIUM GEL,فاست فريزي أوميجا 3 & ماجنيسيوم,L-MENTHOL+OMEGA3+MAGNESIUM CHLORIDE+CAMPHOR OIL+CLOVE OIL+ALMOND OIL+GLYCERIN+VIT.B5+EUCALYPTUS OIL+TOCOPHEROL,KATO PRESTIGE COSMETICS > HPG GROUP,SKIN MASSAGE GEL WITH COOLING & RELAXATION,TOPICAL,190.0,menthol,1
FAST FREEZE OMEGA3 & MAGNESIUM GEL 100 GM,فاست فريزي أوميجا3 & ماجنيسيوم,CAMPHOR+MENTHOL+MAGNESIUM+OMEGA-3,DJO CONSUMER LLC > ROTABIOGEN,MASSAGE,TOPICAL,190.0,menthol,1
FASTER GEL 50 GM (N/A),فاستير,MENTHOL+CAMPHOR,AL ESRAA PHARMACEUTICAL OPTIMA,MASSAGE CREAM,TOPICAL,10.0,menthol,1
FASTER GEL 80 GM,فاستير,MENTHOL+CAMPHOR,AL ESRAA PHARMACEUTICAL OPTIMA,MASSAGE CREAM,TOPICAL,59.0,menthol,1
FASTMOVE COOLING SPRAY 200 ML,فاستموفي كولينج,MENTHOL+CLOVE+MAGNESIUM+EUCALYPTUS+CAMPHOR+OMEGA 3 6+PEPPERMINT OIL+AVOCADO+ALLANTOIN,> LEAP COSMECEUTICALS,MASSAGE,SPRAY,320.0,menthol,1
FASTMOVE MASSAGE CREAM 120 GM,فاستموفي ماسساجي,MENTHOL+CLOVE+MAGNESIUM+EUCALYPTUS+CAMPHOR+OMEGA 3 6+PEPPERMINT OIL+AVOCADO+ALLANTOIN,> Leap Cosmeceuticals,MASSAGE,TOPICAL,190.0,menthol,1
FASTMOVE MASSAGE CREAM 60 GM,فاستموفي ماسساجي,MENTHOL+CLOVE+MAGNESIUM+EUCALYPTUS+CAMPHOR+OMEGA 3 6+PEPPERMINT OIL+AVOCADO+ALLANTOIN,> Leap Cosmeceuticals,MASSAGE,TOPICAL,120.0,menthol,1
FASTMOVE MASSAGE GEL 120 GM,فاستموفي ماسساجي,MENTHOL+CLOVE+MAGNESIUM+EUCALYPTUS+CAMPHOR+OMEGA 3 6+PEPPERMINT OIL+AVOCADO+ALLANTOIN,> Leap Cosmeceuticals,MASSAGE,TOPICAL,200.0,menthol,1
FASTMOVE MASSAGE GEL 60 GM,فاستموفي ماسساجي,MENTHOL+CLOVE+MAGNESIUM+EUCALYPTUS+CAMPHOR+OMEGA 3 6+PEPPERMINT OIL+AVOCADO+ALLANTOIN,> Leap Cosmeceuticals,MASSAGE,TOPICAL,160.0,menthol,1
FEMGOOD VAGINAL DOUCH 250 ML,فيمجود دوتش,MALLOW EXTRACT+CHAMOMILE EXTRACT+TEA TREE OIL+MENTHOL+THYMOL OIL+IRGASAN,EGYPTIAN CO. FOR COSMETICS > BEAM PHARMA,VAGINAL CARE,VAGINAL,70.0,menthol,1
FEMI 9 VAGNAL WASH 250 ML,فيمي 9 فاجنال واش,L. ARGININE+CHLORHEXIDINE GLUCONATE+VITE+VITB5+CLOVE EXTRACT+ALOE VERA+D PANTHENOL+MENTHOL OIL+ROSE OIL+THYMOL OIL,MAJESTIC BIOPHARMA,VAGINAL CARE,VAGINAL,120.0,menthol,1
FEMIFLY VAG. WASH 250 ML,فيميفلي فاج. واش,MENTHOL CRYSTALS+TRICLOSAN+ALOE VERA EXT.+GLYCERIN+CHAMOMILE EXT.,HI-CARE > PHARMAZONE COMPANY,VAGINAL WASH,VAGINAL,30.0,menthol,1
FEMINA CREAM (V-GUARD) 50 GM,فيمينا,CITRIC ACID+THYME OIL+TWEEN 20+GLYCERIN+MENTHOL+ALOE VERA+TEA TREE OIL+CHAMOMILE EXTRACT+TRICLOSAN+M,LEADER COSMETICS > ORIGINAL GROUP,VAGINAL CARE,TOPICAL,80.0,menthol,1
FEMIROSE INTIMATE FEMININE WASH,فيميروسي إنتيماتي فيمينيني واش,TRICLOSAN+CITRIC ACID+ROSE EXTRACT+THYMOL CRYSTALS+MENTHOL CRYSTALS+ CHAMOMILE EXTRACT+TEA TREE OIL,DREAMS ELHABOBA > EGYBIOTICS,INTIMATE FEMININE WASH,UNKNOWN,75.0,menthol,1
FEMOREX GEL 50 GM,فيموريكس,GLUCOSAMINE SULPHATE+CHONDROITIN SULPHATE+MENTHOL+CAMPHOR+GINKO BILOBA,EGYPTIAN COMPANY FOR COSMETICS > RAND PHARM,MASSAGE CREAM,TOPICAL,27.0,menthol,1
FENORIL GEL 30 GM,فينوريل,HORSE CHESTNUT EXTRACT+EUGENOL+MENTHOL,LEADER > PHARMA VISION,ANALGESIC,TOPICAL,35.0,menthol,1
FENORIL GEL 50 GM,فينوريل,HORSE CHESTNUT EXTRACT+EUGENOL+MENTHOL,LEADER > PHARMA VISION,ANALGESIC,TOPICAL,48.5,menthol,1
FENTEX MOUTH SPRAY 60 ML,فينتيكس موث,CLOVE OIL+TEA TREE OIL+CHAMOMILE OIL+SAGE EXT+THYME OIL+MENTHOL CRYSTALS,LEADER > PHARMACIA ELITE,ORAL CARE,SPRAY,70.0,menthol,1
FEVOZA  75GM MASSAGE GEL,فيفوزا ماسساجي,PEPPERMENT OIL+MENTHOL EXTRACT+EUCALYPTUS OIL+CAMPHOR EXTRACT,EVITA FOR COSMETICS - EGYPT > MERK SHARE,SKIN MASSAGE GEL,TOPICAL,65.0,menthol,1
FEVOZA 120 ML MASSAGE SPRAY,فيفوزا ماسساجي,MENTHOL+EUCALYPTUS OIL+CAMPHOR EXTRACT+BEESWAX+GLYCERIN,EVITA FOR COSMETICS - EGYPT > MERK SHARE,SKIN MASSAGE SPRAY,UNKNOWN,75.0,menthol,1
FINEGOLA 60 ML MOUTH SPRAY,فينيجولا موث,CHAMOMILE+EUCALYPTUS OIL+THYME OIL+LIDOCAINE+MENTHOL+HYALURONIC ACID+CHLORHEXIDINE+ALOE VERA,EL NILE FACTORY FOR COSMETICS > HARMONY CARE,OROPHARYNGEAL CARE,UNKNOWN,90.0,menthol,1
FIRMIX CREAM 120 GM,فيرميكس,CAFFEINE+ALOE VERA+MENTHOL+GLYCERIN,HI-CARE > ORIGINAL GROUP,SKIN CARE.FIRMING,TOPICAL,265.0,menthol,1
FIRST TOPICAL LOTION 120ML,فيرست,ZINC OXIDE+MENTHOL+THYMOL+CHAMOMILE EXTRACT+GLYCERIN,HI-CARE > PHARMA CURE,SOOTHING TOPICAL,UNKNOWN,12.5,menthol,1
